Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
GLEAM J234649-301642, cluster2, POINT, 23:46:49.944, -30.16.42.324, 0.884624183177948, 0, 0, 0, [-0.920698702335358, 0], true, 200000000, , ,
GLEAM J235847-605322, cluster2, GAUSSIAN, 23:58:47.439, -60.53.22.391, 46.0769691467285, 0, 0, 0, [-0.614652812480927, 0], true, 200000000, 191.521423339844, 144.601837158203, -13.7927179336548
GLEAM J235626-325016, cluster2, POINT, 23:56:26.462, -32.50.16.873, 0.883478820323944, 0, 0, 0, [-0.922905683517456, 0], true, 200000000, , ,
GLEAM J001026-343137, cluster2, POINT, 00:10:26.145, -34.31.37.105, 0.913061738014221, 0, 0, 0, [-0.90506911277771, 0], true, 200000000, , ,
GLEAM J000152-312521, cluster2, GAUSSIAN, 00:01:52.083, -31.25.21.881, 0.709754824638367, 0, 0, 0, [-1.03943812847137, 0], true, 200000000, 147.225631713867, 143.076919555664, 45.2990112304688
GLEAM J001738-351309, cluster2, POINT, 00:17:38.737, -35.13.09.491, 0.998478055000305, 0, 0, 0, [-0.85132759809494, 0], true, 200000000, , ,
GLEAM J234440-333339, cluster2, POINT, 23:44:40.393, -33.33.39.342, 1.02241516113281, 0, 0, 0, [-0.961588621139526, 0], true, 200000000, , ,
GLEAM J000410-330134, cluster2, GAUSSIAN, 00:04:10.965, -33.01.34.977, 0.751129031181335, 0, 0, 0, [-1.17334043979645, 0], true, 200000000, 177.774826049805, 122.541923522949, -54.0603561401367
GLEAM J235525-335759, cluster2, POINT, 23:55:25.964, -33.57.59.659, 0.878012835979462, 0, 0, 0, [-0.980056285858154, 0], true, 200000000, , ,
GLEAM J234427-392438, cluster2, POINT, 23:44:27.202, -39.24.38.828, 2.16605734825134, 0, 0, 0, [-0.979061603546143, 0], true, 200000000, , ,
GLEAM J001235-344531, cluster2, POINT, 00:12:35.007, -34.45.31.97, 0.862208724021912, 0, 0, 0, [-0.864102005958557, 0], true, 200000000, , ,
GLEAM J234911-325417, cluster2, POINT, 23:49:11.492, -32.54.17.501, 0.855649769306183, 0, 0, 0, [-0.784829378128052, 0], true, 200000000, , ,
GLEAM J235630-322219, cluster2, POINT, 23:56:30.564, -32.22.19.906, 0.762370467185974, 0, 0, 0, [-0.691768944263458, 0], true, 200000000, , ,
GLEAM J234844-384353, cluster2, POINT, 23:48:44.465, -38.43.53.711, 1.81466388702393, 0, 0, 0, [-0.72723525762558, 0], true, 200000000, , ,
GLEAM J231953-365630, cluster2, POINT, 23:19:53.547, -36.56.30.065, 2.71485352516174, 0, 0, 0, [-0.522831082344055, 0], true, 200000000, , ,
GLEAM J233531-330553, cluster2, POINT, 23:35:31.56, -33.05.53.169, 1.05993223190308, 0, 0, 0, [-0.713407814502716, 0], true, 200000000, , ,
GLEAM J233034-304753, cluster2, POINT, 23:30:34.211, -30.47.53.165, 1.01986479759216, 0, 0, 0, [-0.819507598876953, 0], true, 200000000, , ,
GLEAM J000029-345220, cluster2, POINT, 00:00:29.541, -34.52.20.95, 0.826525032520294, 0, 0, 0, [-0.908727705478668, 0], true, 200000000, , ,
GLEAM J235316-371326, cluster2, GAUSSIAN, 23:53:16.113, -37.13.26.163, 1.22499656677246, 0, 0, 0, [-0.777967393398285, 0], true, 200000000, 159.596649169922, 138.628829956055, 82.0606842041016
